thank you for watching.,"['thank', 'for', '.']"
"someone listening to this could say, charms mles murray i saying that the government is making people lazy.","['someone', 'listening', 'this', 'say', ',', 'charms', 'murray', 'i', 'saying', 'that', 'the', 'government', 'making', 'lazy', '.']"
"that is obviously a simple view of what i'm saying but if you rephrase it and say, that charles murray is saying that the government is systematically under-mining what was a great american treasure, that is accurate.","['is', 'obviously', 'a', 'view', 'of', 'what', ""'m"", 'but', 'if', 'you', 'rephrase', 'and', ',', 'charles', 'murray', 'saying', 'the', 'government', 'systematically', 'what', 'was', 'great', 'american', 'treasure', 'that', 'accurate', '.']"
"murray, 70 years old, finds himself back in a battle of fierce ideas that he believes must be won.","['murray', '70', 'years', 'old', ',', 'himself', 'back', 'a', 'battle', 'fierce', 'that', 'he', 'must', 'be', 'won']"
"his latest book, ""coming apart,"" said the battle is being fought on new terms.","['latest', 'book', ',', 'coming', ',', ""''"", 'said', 'battle', 'being', 'fought', 'new', 'terms', '.']"
what was once the pathologies of the under class is now becomingthe mainstream.,"['was', 'once', 'the', 'of', 'the', 'class', 'now', 'mainstream', '.']"
if you go to a working class neighborhood and you get them talking about the guys around town and their attitude toward work.,"['you', 'to', 'a', 'class', 'and', 'you', 'get', 'them', 'about', 'guys', 'around', 'and', 'their', 'toward', '.']"
will you get cases where guys are trying hard to get work.,"['get', 'cases', 'to', 'are', 'work', 'will', 'where', '.', 'guys', 'hard', 'trying']"
the story you hear more commonly is you did not want a job.,"['story', 'you', 'more', 'commonly', 'is', 'you', 'did', 'want', 'a', 'job', '.']"
which sounds like someone we met earlier in the hour on.,"['sounds', 'like', 'we', 'met', 'in', 'the', 'hour', '.']"
"so i asked murray about jason, that blissfully content la jolla, california, food stamp recipient.","[',', ',', 'i', 'blissfully', 'asked', 'la', 'recipient', 'stamp', 'murray', 'jason', 'so', 'jolla', ',', 'california']"
"he surfs a lot, he does not have a job.","['surfs', 'a', ',', 'he', 'not', 'a', 'job', '.']"
he does not want one.,"['does', 'not', 'want', 'one', '.']"
he has no problem taking $200 a month from taxpayers.,"['has', 'no', 'taking', '$', '200', 'month', 'from', '.']"
are you surprised we could find someone willing to tell us that?,"['we', 'someone', 'tell', '?', 'to', 'willing', 'find', 'that', 'surprised', 'are']"
doesn't surprise me a bit.,"['surprise', ""n't"", '.', 'a', 'does']"
jason is not odd.,"['jason', 'is', 'not', 'odd']"
"no, no, jason has cousins in every town in america.","[',', ',', 'has', 'in', 'every', 'town', 'in', '.']"
and stories like jason trouble murray not because of the money wasted.,"['stories', 'like', 'trouble', 'murray', 'not', 'because', 'of', 'money', '.']"
it's the lies murray believes that are being frittered away.,"[""'s"", 'the', 'murray', 'believes', 'that', 'are', 'frittered', 'away', '.']"
that guy is kidding himself.,"['guy', 'is', 'kidding', 'himself']"
he is passing time as plenty -- time as pleasantly as possible right now.,"['is', 'passing', 'time', 'as', '--', 'time', 'pleasantly', 'as', 'possible', 'right', '.']"
that is not what makes up a wonderful human life and the welfare staten courages people to think of life inspe terms ofe picnic.,"['life', 'and', 'think', 'welfare', '.', 'human', 'not', 'inspe', 'what', 'is', 'terms', 'up', 'of', 'the', 'people', 'picnic', 'staten', 'a']"
"as jason calls it, the rat life.","['jason', 'calls', 'it', 'the', 'life']"
he gets the last word after the break.,"['gets', 'the', 'word', 'after', 'the', '.']"
"chances are, you're not made of money, so don't overpay for at insurance.geico, you're not made of money, see how much you could save.","['chances', 'are', 'you', 'not', 'made', 'of', 'money', 'so', 'do', 'overpay', 'for', 'at', 'insurance.geico', ',', ""'re"", 'made', 'of', ',', 'how', 'much', 'you', 'could', '.']"
".we end our   we end our show by checking back on jason greenslate.unemployed musician, beach bum.","['.we', 'end', 'we', 'our', 'show', 'checking', 'back', 'jason', 'greenslate.unemployed', 'musician', 'beach', 'bum', '.']"
doesn't want to take a regular job.,"['does', ""n't"", 'want', 'take', 'a', 'job', '.']"
we wondered how regular americans would help paying for food stamps for someone like him.,"['wondered', 'how', 'regular', 'americans', 'would', 'help', 'paying', 'for', 'stamps', 'for', 'someone', 'him', '.']"
"turns out according to a fox news poll conducted for this special, they have a problem with it.","['turns', 'according', 'to', 'fox', 'poll', 'conducted', 'for', 'this', 'special', 'they', 'a', 'problem', 'it']"
overwhelmingly so.,"['overwhelmingly', 'so']"
"but as john roberts learned, jason doesn't understand why.","['as', 'roberts', 'learned', ',', 'jason', ""n't"", 'understand', 'why', '.']"
you can't have a job.,"['ca', ""n't"", 'have', 'a', '.']"
you can't have a job?,"['ca', ""n't"", 'have', 'a', '?']"
the wisdom of 19-year-old jason greenslate.,"['wisdom', 'of', 'jason', 'greenslate', '.']"
you have to have a food stamp card.,"['have', 'to', 'a', 'food', 'card', '.']"
"in case you didn't catch those lyrics, jason's singing ""i ain't got no mf job, i would rather be broke, steal and rob.tell me what's behind that song?","['case', 'you', ""n't"", 'catch', 'those', 'lyrics', 'jason', ""'s"", '``', 'i', ""n't"", 'got', 'mf', 'job', ',', 'i', 'would', 'be', 'broke', ',', 'and', 'rob.tell', 'me', 'what', ""'s"", 'behind', 'song', '?']"
"have no job, living the dream, doing your thing.","['have', 'job', ',', 'the', 'dream', 'doing', 'your', '.']"
living the dream is having no job?,"['living', 'dream', 'is', 'having', 'no', '?']"
how is that going for you by the way?,"['how', 'is', 'going', 'for', 'by', 'way']"
"it's going great, yeah.","[""'s"", 'going', 'great', ',', '.']"
going really well.,"['going', 'really', 'well']"
"you have girls dancing up on the table, an everyday thing.","['have', 'girls', 'dancing', 'up', 'the', ',', 'everyday', 'thing']"
$  this is the long-term plan?,"['this', 'the', 'long-term', '?']"
"yeah, it's the job.","[',', ""'s"", 'job', '.']"
jason does aspire to something more.,"['jason', 'does', 'aspire', 'something', 'more', '.']"
his band has signed with a record label.,"['band', 'has', 'signed', 'with', 'record', '.']"
"it doesn't pay them anything yet, but he believes it's the start of something big.","['yet', 'big', 'of', 'does', 'but', 'start', ""n't"", '.', 'believes', 'them', ',', 'pay', ""'s""]"
tell me about the record deal.,"['tell', 'about', 'record', '.']"
are you in the studio yet?,"['are', 'in', 'studio', '?']"
"yeah, hopefully the fireworks start going off.","['yeah', 'hopefully', 'the', 'start', 'going', 'off', '.']"
where do you see this all going?,"['where', 'do', 'see', 'this', 'going']"
"to the top, man.","['the', ',', 'man']"
to the sky.,"['the', '.']"
heaven knows jason greenslatemight actually make it.,"['heaven', 'knows', 'jason', 'greenslatemight', 'actually', 'make', '.']"
or maybe his destiny is just the rat life.,"['maybe', 'his', 'is', 'just', 'the', 'rat', '.']"
"if so, he's okay with that.","['that', '.', ""'s"", 'so', ',', 'with']"
especially if you're still willing to pick up the tab.,"['especially', 'you', 'still', 'willing', 'to', 'pick', 'the', 'tab']"
"the food stamp program was designed to be for a point in your life where you were down, things weren't going well.","['food', 'stamp', 'program', 'was', 'designed', 'to', 'for', 'a', 'in', 'life', 'where', 'were', ',', 'things', 'were', 'going', 'well', '.']"
"it's not quote, a point in your life.","[""'s"", 'not', 'quote', ',', 'point', 'your', 'life']"
this is life for me.,"['is', 'life', 'for', '.']"
"this is how i live, man.","['is', 'how', 'i', 'live', ',', '.']"
"cheap chicks, doing my thing.","['cheap', 'chicks', 'doing', 'my', '.']"
this is the way i want to live and i don't see anything changing.,"['is', 'the', 'i', 'want', 'to', 'live', 'i', 'do', 'see', 'anything', 'changing', '.']"
"it used to be, somebody was on food stamps, it's like, they're on food stamps, loser.","['on', 'they', ',', 'food', '.', 'on', 'stamps', 'somebody', 'to', 'like', ""'s"", ',', 'used', 'it', 'food']"
it's free food.,"[""'s"", 'free', 'food', '.']"
it's awesome.,"[""'s"", 'awesome', '.']"
"what would you say to somebody who is looking at this, saying i'm working hard, paying taxes so jason can live hissurfer lifestyle and get $200 to buy good, quality food?","['would', 'you', 'to', 'somebody', 'is', 'looking', 'this', ',', 'saying', ""'m"", 'hard', 'paying', 'taxes', 'so', 'jason', 'can', 'live', 'lifestyle', 'and', 'get', '$', '200', 'to', 'buy', 'good', ',', 'food', '?']"
"thank you, taxpayers.","['thank', ',', '.']"
do you feel guilty at all about that?,"['do', 'feel', 'guilty', 'at', 'about', '?']"
rugged individualism.,"['rugged', 'individualism']"
"it's a term that attempts to capture the american values of hard work, self-reliance, and pride in pulling your own weight.","[""'s"", 'a', 'that', 'attempts', 'capture', 'the', 'values', 'of', 'work', ',', 'self-reliance', 'and', 'pride', 'in', 'your', 'own', '.']"
those values and the legal and political system that reward them help explain why america has prospered like no other country.,"['values', 'and', 'legal', 'political', 'system', 'reward', 'them', 'help', 'why', 'america', 'prospered', 'like', 'no', 'other', 'country', '.']"
"at the same time, we're also a compassionate and generous people, willing to help the door, and feed the hungry.","['the', 'time', ',', 'we', 'also', 'compassionate', 'and', 'generous', ',', 'willing', 'help', 'the', 'door', 'and', 'feed', 'hungry', '.']"
our nation must find harmony in these two values so as not to lose all that made america great to begin with.,"['nation', 'must', 'find', 'harmony', 'in', 'two', 'so', 'as', 'not', 'to', 'all', 'that', 'america', 'great', 'begin', '.']"
that's our report.,"[""'s"", 'our', '.']"
but the conversation continueson twitter.,"['the', 'continueson', 'twitter', '.']"
let me know what you think.,"['think', 'let', 'know', 'what']"
"again, use the hash tag foxnewsreports.","['foxnewsreports', 'hash', '.', 'use', 'again']"
"thanks for watching.at legalzoom, you can take care of virtually all your imptant legal matters in just minutes.","['thanks', 'watching.at', 'legalzoom', ',', 'can', 'care', 'of', 'virtually', 'all', 'imptant', 'legal', 'in', 'minutes', '.']"
protect youramily... and launch your dreams.,"['protect', 'youramily', 'and', 'your', 'dreams']"
"at legalzoom.com we put the law on your side.lookin' good, flo!","['legalzoom.com', 'we', 'the', 'law', 'your', 'side.lookin', 'good', 'flo', '!']"
feelin' good!,"['feelin', 'good', '!']"
feelin' real good!,"['feelin', 'real', 'good', '!']"
breaking news in alabama where a 5-year-old has been held hostage in a under ground bunker for five days.,"['breaking', 'news', 'alabama', 'where', 'a', 'has', 'been', 'held', 'hostage', 'in', 'a', 'ground', 'for', 'days', '.']"
police are ready to make an announcement in the case.,"['police', 'are', 'ready', 'make', 'an', 'in', 'the', '.']"
jonathan is live.,"['live', 'jonathan', 'is']"
significant developments.,"['significant', 'developments']"
we expect to hear confirmation from authorities in 5 to 10 minutes.,"['expect', 'to', 'confirmation', 'from', 'authorities', '5', 'to', 'minutes', '.']"
"we are hearing from a law enforcement official telling fox that the boy, the 5-year-old boy who has been held in the under ground bunker in the area you see behind me coming up on 7 days, that he has been released and that he is, quote, okay.","['are', 'hearing', 'from', 'law', 'official', 'telling', 'fox', 'that', 'the', 'boy', 'the', 'boy', 'who', 'been', 'in', 'the', 'under', 'bunker', 'in', 'the', 'area', 'see', 'me', 'up', 'on', '7', ',', 'he', 'has', 'released', 'and', 'he', ',', 'quote', 'okay']"
"the same law enforcement official also saying that thesuspect, 65-year-old jimmy lee dykes who had been -- allegedly holding this boy in his backyard bunker all this time, that the suspect in the case is dead.","['same', 'law', 'enforcement', 'official', 'also', 'saying', 'that', ',', '65-year-old', 'lee', 'dykes', 'who', 'had', 'been', 'allegedly', 'holding', 'this', 'in', 'his', 'backyard', 'all', 'this', ',', 'the', 'suspect', 'in', 'case', 'dead', '.']"
"kimberly, all of this began last tuesday afternoon.","['kimberly', 'all', 'this', 'last', 'afternoon', '.']"
"the boy was riding home on a school bus in this neighborhood, in this area where i am when a gunman boarded the bus, the bus driver positioned himself between the gunman and the children.","['boy', 'was', 'riding', 'home', 'on', 'school', 'in', 'this', 'neighborhood', 'in', 'area', 'where', 'am', 'a', 'boarded', 'the', 'bus', ',', 'the', 'bus', 'positioned', 'himself', 'between', 'gunman', 'and', 'children']"
the gunman opened fire fatally wounding mr. poland and one of the children was taken hostage.,"['gunman', 'opened', 'fire', 'fatally', 'wounding', 'mr.', 'poland', 'and', 'of', 'the', 'was', 'hostage', '.']"
"that child being that 5-year-old brought to a backyard bunker in the backyard of this suspect jimmy lee dykes, a 65-year-old who neighbors describe as very territorial someone who would become violent if neighbors oreven a dog would venture anywhere close to his property.","['child', 'being', 'that', 'brought', 'to', 'a', 'bunker', 'the', 'backyard', 'of', 'suspect', 'lee', 'dykes', 'a', 'who', 'neighbors', 'describe', 'as', 'very', 'someone', 'would', 'become', 'if', 'neighbors', 'oreven', 'dog', 'would', 'venture', 'anywhere', 'to', 'his', 'property', '.']"
neighbors saying he harbored very strong anti government views.,"['neighbors', 'saying', 'harbored', 'very', 'strong', 'anti', 'government', 'views', '.']"
through out the standoff that ensued authorities kept a long line of communication with the suspect 24-hours a day through a pvc pipe that was providing ventilation from the surface down into under ground bunker.,"['out', 'standoff', 'ensued', 'authorities', 'a', 'long', 'line', 'of', 'with', 'the', 'suspect', 'a', 'day', 'a', 'pipe', 'that', 'was', 'ventilation', 'from', 'surface', 'into', 'under', 'ground', '.']"
authorities releasing very few details about the discussions.,"['authorities', 'releasing', 'very', 'few', 'details', 'the', '.']"
the sheriff only saying a little bit earlier today that mr. dyke had an important story but it was very complicated.,"['sheriff', 'only', 'saying', 'a', 'bit', 'earlier', 'today', 'that', 'mr.', 'had', 'an', 'important', 'story', 'it', 'was', 'very', '.']"
the sheriff wouldn't elaborate from there.,"['sheriff', 'would', ""n't"", 'elaborate', 'from', '.']"
just within the past hour people here out of the press site where the media are gathered across the street from police command post.,"['just', 'the', 'hour', 'people', 'here', 'out', 'of', 'press', 'where', 'media', 'are', 'gathered', 'across', 'street', 'from', 'police', 'command', '.']"
many people here heard some sort of a boom.,"['many', 'people', 'here', 'heard', 'sort', 'of', 'boom']"
"couldn't say whether it was an explosion, gun fire or simply the door on a truck closing buta boom that got everyone's attention, there was movement up the hill behind me and then this law enforcement official saying the initial reports suggest this 5-year-old boy has been released from captivity and that he is quote okay.","['could', ""n't"", 'say', 'it', 'an', 'explosion', 'gun', 'fire', 'simply', 'the', 'door', 'a', 'truck', 'buta', 'boom', 'got', ""'s"", 'attention', ',', 'there', 'was', 'up', 'the', 'hill', 'me', 'and', 'this', 'enforcement', 'official', 'saying', 'initial', 'suggest', 'this', 'boy', 'been', 'from', 'captivity', 'that', 'he', 'is', 'quote', 'okay']"
and the suspect who has been healing him all this time is dead.,"['the', 'him', '.', 'this', 'who', 'all', 'is', 'healing', 'has']"
"kimberly, back to you.","['kimberly', 'back', 'to', '.']"
is there any information you can give us about the time frame preceding this loud boom that everybody heard that perhaps there was some different changes in negotiations discussions with the suspect mr. dykes?,"['is', 'any', 'you', 'can', 'us', 'about', 'the', 'frame', 'this', 'boom', 'that', 'everybody', 'heard', 'perhaps', 'there', 'was', 'different', 'changes', 'in', 'discussions', 'with', 'suspect', 'mr.', '?']"
"no, there was no indication that there was any change in the discussion.","[',', 'was', 'indication', 'that', 'was', 'any', 'in', 'discussion', '.']"
police were telling us what they were telling us each time they came out to brief us that nerp keeping the line of communication through that pvc pipe open 24/7.,"['police', 'were', 'telling', 'what', 'were', 'us', 'each', 'time', 'came', 'to', 'brief', 'that', 'nerp', 'the', 'of', 'communication', 'that', 'pipe', 'open', '24/7']"
the sheriff gave us more information that most of the communication had taken placeduring the daylight hours.,"['sheriff', 'gave', 'us', 'information', 'that', 'most', 'the', 'communication', 'taken', 'the', 'daylight', 'hours', '.']"
"but no indication that anything had changed or that we were close to a resolution, kimberly.","['no', 'that', 'anything', 'changed', 'or', 'that', 'we', 'close', 'a', ',', 'kimberly', '.']"
jonathan here is dana perino.,"['jonathan', 'here', 'is', 'dana', 'perino']"
i had a question about the coordination between the local police the fbi and whoever else is involved.,"['i', 'had', 'question', 'about', 'coordination', 'the', 'local', 'the', 'and', 'whoever', 'else', 'involved', '.']"
that was an amazing level of skill at that local level to be able to do that negotiation to keep that going for 7 days and to bring it to what sounds like a successful conclusion for the boy.,"['was', 'an', 'level', 'of', 'skill', 'that', 'local', 'to', 'able', 'to', 'do', 'negotiation', 'to', 'keep', 'going', 'for', 'days', 'and', 'bring', 'it', 'what', 'sounds', 'a', 'successful', 'conclusion', 'the', '.']"
"it is indeed, dana.","['is', 'indeed', ',', '.']"
it has been the presence of virtually every branch of police that you can image being out here.,"['has', 'been', 'the', 'of', 'virtually', 'branch', 'of', 'that', 'you', 'image', 'being', 'here']"
you have the sheriff's office over the jurisdiction.,"['the', ""'s"", 'jurisdiction', 'have', 'office', 'the']"
"you have neighboring municipalities providing police to the area, then you have alabama state law enforcement officials and then you have the fbi.","['have', 'neighboring', 'municipalities', 'providing', 'police', 'to', 'area', 'then', 'you', 'alabama', 'state', 'enforcement', 'officials', 'and', 'then', 'you', 'have', 'the', '.']"
"so you had state, local and federal authorities out here on the scene in what appeared to be a well coordinated effort tobring this resolution, dana.","['so', 'had', 'state', ',', 'and', 'federal', 'out', 'here', 'on', 'scene', 'in', 'appeared', 'be', 'a', 'coordinated', 'tobring', 'this', ',', 'dana']"
can you tell us about what you know about the boy and do you have any indication of what his condition is or where he is right now?,"['the', 'tell', 'right', 'do', 'and', 'us', 'have', 'indication', 'know', 'his', 'or', 'condition', '?', 'is', 'what', 'of', 'where', 'can']"
we don't know where he is right now.,"['do', '.', 'right', 'where', ""n't"", 'know', 'he', 'now']"
"but law enforcement source saying that he is quote, okay.","['law', 'enforcement', 'source', 'saying', 'that', 'is', ',', 'okay', '.']"
"in general we were told he was a special needs student, that perhaps he suffered from some form of asperger's syndrome.","['general', 'we', 'told', 'he', 'was', 'special', 'needs', ',', 'that', 'perhaps', 'he', 'from', 'form', 'of', ""'s"", 'syndrome']"
"anecdotally, folks who knew the bus driver saying charlie pullman jr. would keep the special needs children at the front of the bus so he could keep an eye on them.","['anecdotally', 'folks', 'who', 'the', 'bus', 'saying', 'charlie', 'pullman', 'jr.', 'would', 'keep', 'the', 'special', 'needs', 'at', 'the', 'front', 'of', 'bus', 'he', 'could', 'an', 'on', 'them']"
"if that's the case, that might explain why this kid was targeted, why the gunman selected him as a hostage.","['that', 'the', 'case', 'that', 'might', 'why', 'kid', 'was', 'targeted', ',', 'the', 'gunman', 'selected', 'him', 'a', 'hostage']"
perhaps all of the other children were at the back of the bus.,"['perhaps', 'of', 'other', 'were', 'at', 'the', 'back', 'the', '.']"
i am told the driver had gotten that back door open before he was shot so the kids in the back of the bus it would have been easier for them to get off andthis kid would have been an easier target sitting at the front of the bus if what residents are telling us is true that the special needs were kept near the driver so he could care for them.,"['i', 'am', 'told', 'driver', 'had', 'gotten', 'that', 'door', 'open', 'before', 'he', 'shot', 'the', 'kids', 'in', 'the', 'of', 'the', 'it', 'have', 'been', 'for', 'to', 'get', 'andthis', 'kid', 'would', 'have', 'been', 'easier', 'sitting', 'the', 'front', 'the', 'bus', 'if', 'what', 'residents', 'are', 'us', 'is', 'true', 'that', 'special', 'were', 'kept', 'the', 'so', 'he', 'care', 'them', '.']"
this is bob beckel.,"['is', 'bob', 'beckel', '.']"
is there any indication this was a single bunker or was there a series of rooms in this complex?,"['is', 'any', 'this', 'was', 'single', 'bunker', 'was', 'there', 'a', 'of', 'rooms', 'this', '?']"
our reports that we have been getting is it's a single bunker and there were conflicting reports about the dimensions.,"['reports', 'that', 'have', 'getting', 'is', 'it', ""'s"", 'a', 'bunker', 'and', 'were', 'conflicting', 'reports', 'the', '.']"
we heard 6 by 8 feet and then we heard reports it was slightly larger than that perhaps as long as 15 feet long.,"['heard', '6', 'by', 'feet', 'and', 'then', 'heard', 'reports', 'was', 'slightly', 'larger', 'that', 'perhaps', 'as', 'long', '15', 'long', '.']"
our understanding it was a relatively small single room bunker.,"['understanding', 'it', 'a', 'relatively', 'single', 'room', 'bunker', '.']"
"jonathan, we keep hearing about this guy dim dykes.","['jonathan', 'we', 'hearing', 'about', 'this', 'dim', '.']"
according to neighbors it was no surprise.,"['according', 'neighbors', 'it', 'no', 'surprise']"
everybody knew what he was doing what he was planning.why was he still out in public?,"['everybody', 'knew', 'he', 'doing', 'what', 'he', 'planning.why', 'he', 'still', 'out', 'in', '?']"
neighbors say that it was a ticking time bomb.,"['neighbors', 'say', 'it', 'a', 'ticking', 'bomb', '.']"
"some neighbors had reported him to the police but they say the problem is, if they were reporting gun fire the police would come out the gun fire would be gone there would be nothing they could get him on.","['neighbors', 'had', 'reported', 'him', 'the', 'but', 'say', 'the', 'is', 'if', 'they', 'reporting', 'gun', 'fire', 'police', 'come', 'the', 'gun', 'fire', 'would', 'be', 'there', 'would', 'be', 'nothing', 'could', 'him', 'on', '.']"
evidenc he was scheduled to stand in court last pens on charges of menacing his neighbors threatening neighbors with a gun.,"['evidenc', 'was', 'scheduled', 'to', 'in', 'court', 'pens', 'on', 'charges', 'of', 'his', 'neighbors', 'neighbors', 'with', 'gun', '.']"
but of course the hostage standoff began the afternoon before that.,"['of', 'the', 'hostage', 'began', 'the', 'afternoon', 'before', '.']"
"i have a question, are you able to see whether or not in terms of containment of the area what other emergency services perhaps are on scene to give some indication what the explosion might have been is there any kind of hazmat on location or emt?","['not', 'whether', 'question', 'emt', 'in', 'i', 'the', 'see', ',', 'what', 'to', 'other', 'of', 'have', 'the', 'explosion', 'give', 'you', 'able', 'on', 'indication', 'services', 'have', 'might', 'location', 'kind', 'perhaps', 'is', 'of', 'there', 'what', 'of', 'on']"
"it is hard to tell, because they have had ambulances stationed out here through out the ordeal.","['is', 'hard', 'to', ',', 'because', 'have', 'ambulances', 'out', 'here', 'through', 'out', 'the', '.']"
they have had a fire truck out here through out the ordeal.then they also have state and federal vehicles out here.,"['have', 'had', 'a', 'truck', 'out', 'here', 'out', 'the', 'they', 'have', 'and', 'federal', 'out', 'here', '.']"
they really brought vehicles out for every possible contingency.,"['really', 'brought', 'vehicles', 'out', 'every', 'contingency']"
it's not like when the boom came there was a sudden influx of new vehicles to the scene.,"[""'s"", 'not', 'like', 'the', 'boom', 'there', 'was', 'a', 'influx', 'of', 'vehicles', 'to', 'the', '.']"
we really can't tell from the vehicles here exactly what that explosion was.,"['really', 'ca', ""n't"", 'tell', 'from', 'vehicles', 'exactly', 'what', 'that', 'explosion', '.']"
that may be something we have to wait until the news conference before we get confirmation.,"['may', 'be', 'something', 'we', 'to', 'wait', 'the', 'news', 'before', 'get', 'confirmation', '.']"
i was curious about his parents.,"['i', 'was', 'curious', 'his', '.']"
the child's parents.,"['child', ""'s"", '.']"
have you been able to talk to them?,"['have', 'been', 'able', 'to', 'to', 'them']"
we haven't been able to talk to them.,"['have', ""n't"", 'been', 'able', 'to', 'to', 'them']"
law enforcement has been really trying to encourage the media to keep their distance saying it's a very difficult time.,"['law', 'enforcement', 'has', 'been', 'really', 'trying', 'encourage', 'the', 'to', 'keep', 'distance', 'saying', ""'s"", 'a', 'very', 'time', '.']"
we have heard indirectly.,"['have', 'heard', 'indirectly', '.']"
"talking to a local preacher who is friends with a pastor who has been counseling the family, the parents and the grandparents and says given the circumstances they have actually been holding up quite well, that they have had a lot of faith all alongthat god would see them through this and there would be a peaceful resolution.","['talking', 'a', 'preacher', 'who', 'is', 'with', 'a', 'pastor', 'has', 'counseling', 'the', ',', 'the', 'parents', 'and', 'grandparents', 'and', 'given', 'circumstances', 'they', 'actually', 'holding', 'up', 'well', ',', 'that', 'have', 'had', 'lot', 'of', 'faith', 'all', 'alongthat', 'would', 'see', 'them', 'this', 'there', 'be', 'a', 'peaceful', '.']"
it appears their prayers have been answered today.,"['appears', 'their', 'have', 'been', 'answered', 'today', '.']"
"just curious, the gentlemen who told you the boy was quote-unquote okay.","['just', 'curious', 'the', 'who', 'told', 'the', 'boy', 'quote-unquote', '.']"
give a sense of his mood?,"['give', 'sense', 'of', 'mood']"
where they euphoric?,"['where', 'euphoric', '?']"
were they happy?,"['were', 'happy', '?']"
set the scene for us.,"['set', 'scene', 'for', '.']"
"yeah, i am actually getting this information from one of our producers, so i have not had direct contact with this law enforcement official.","['with', 'direct', 'law', 'this', '.', 'our', 'i', 'so', 'producers', 'one', 'am', 'have', 'getting', 'actually', 'not', 'yeah', 'enforcement', 'official', 'this', 'from']"
i can only image any one in the law enforcement community is going to be over joyed this little boy is safe.,"['i', 'can', 'only', 'image', 'one', 'in', 'law', 'community', 'is', 'going', 'to', 'be', 'over', 'this', 'little', 'is', 'safe']"
their number one priority all along is ensuring the safety of this little boy.,"['number', 'one', 'priority', 'all', 'is', 'ensuring', 'the', 'safety', 'this', 'little', '.']"
another priority was ensuring the safety of the suspect.,"['priority', 'was', 'ensuring', 'the', 'of', 'the', '.']"
ideally they wanted to get them both out safely but their number one priority was ensuring the safety of this 5-year-old little boy and they got that.,"['ideally', 'wanted', 'to', 'them', 'both', 'safely', 'their', 'one', 'priority', 'ensuring', 'safety', 'of', 'this', '5-year-old', 'little', 'boy', 'they', 'got', '.']"
i can only image everyone in lawenforcement is going to be ue fore rick.,"['i', 'can', 'only', 'image', 'everyone', 'lawenforcement', 'is', 'going', 'to', 'ue', 'fore', 'rick', '.']"
i think the situation was made more complicated the fact there was an under ground bunker so there was no access into the bunker to try to get teams in.,"['i', 'think', 'situation', 'was', 'made', 'more', 'complicated', 'the', 'there', 'was', 'under', 'ground', 'so', 'was', 'no', 'access', 'the', 'to', 'try', 'get', 'teams', '.']"
usually they are able to respond to get different snipers to try to terminate the suspect and get the child safely out.,"['usually', 'are', 'able', 'to', 'to', 'get', 'snipers', 'to', 'try', 'to', 'the', 'suspect', 'get', 'the', 'safely', 'out']"
here they had the pvc tube.,"['here', 'had', 'the', 'tube', '.']"
can you talk to us about that?,"['can', 'talk', 'to', 'about', '?']"
first of all it's going to be difficult enough getting into an under ground bunker where presumely mrooably there's only access way and assuming it's blocked off.,"['first', 'all', ""'s"", 'to', 'be', 'difficult', 'getting', 'into', 'an', 'under', 'ground', 'where', 'mrooably', ""'s"", 'only', 'access', 'way', 'and', 'assuming', ""'s"", 'blocked', 'off', '.']"
based on neighbors what they said about this guy with his strong anti government views and apparent paranoia you don't know if the area around the bunker is going to be booby trapped.,"['based', 'neighbors', 'what', 'said', 'this', 'guy', 'his', 'anti', 'government', 'and', 'paranoia', 'you', 'do', ""n't"", 'know', 'the', 'area', 'around', 'bunker', 'is', 'going', 'to', 'booby', '.']"
"even if they had a team they were confident they could go in take the suspect out and rescue the boy without the boy getting injured, if there are boobytraps you are going to j jeopardize your team, the suspect gets angry and you have ruined everything.","['if', 'suspect', 'to', 'j', 'your', 'are', 'out', 'in', 'the', 'confident', 'you', ',', 'jeopardize', 'rescue', 'boobytraps', 'angry', 'even', 'are', 'were', 'the', 'could', 'and', ',', 'ruined', 'go', 'suspect', 'without', 'team', 'they', 'getting', 'everything', 'a', '.', 'the']"
they were playing this cautious from the get go.,"['were', 'playing', 'this', 'from', 'the', 'go']"
it appears their caution has finally paid off.,"['appears', 'their', 'has', 'finally', 'paid', 'off', '.']"
jonathan to bring you up to date the viewers perhaps just joining us this is breaking news development in alabama.,"['jonathan', 'bring', 'you', 'to', 'the', 'perhaps', 'just', 'us', 'this', 'is', 'breaking', 'news', 'in', '.']"
jonathan son scene.,"['jonathan', 'son', 'scene']"
"we are await ago press conference regarding this remarkable ending to this terrible situation, a 7 days where this child was held 5 years old special needs some say suffering from asperger's syndrome was held by the suspect that many said was a menace to the neighborhood and the community.","['are', 'await', 'ago', 'conference', 'regarding', 'this', 'remarkable', 'to', 'this', 'terrible', ',', '7', 'days', 'where', 'child', 'held', '5', 'years', 'old', 'needs', 'some', 'say', 'suffering', 'from', 'asperger', ""'s"", 'syndrome', 'was', 'by', 'the', 'suspect', 'many', 'said', 'a', 'menace', 'to', 'the', 'and', 'community', '.']"
we know right now the suspect is deceased.,"['know', 'right', 'now', 'the', 'is', 'deceased', '.']"
"this was determined after a loud explosion, correct?","['was', 'determined', 'after', 'loud', ',', 'correct', '?']"
this happened after some sort of explosion that got everyone's attention at the media center.,"['sort', 'after', 'the', 'at', 'explosion', '.', 'everyone', 'happened', 'media', ""'s"", 'that']"
