keywords,caption
if 're na oppose any of work for millions illegal aliens .,but if you're gonna oppose any kind of work legalization for millions of illegal aliens.
going to . 're,you're going to lose.
majority americans understand that immigration is partially the government 's .,majority of americans understand that the immigration chaos is partially the government's fault.
"could have secured the border a long ago , but the would do .","we could have secured the southern border a long time ago, but the feds wouldn't do it."
we can pro-prosecute people who oversay visas .,and we certainly can pro-prosecute people who oversay their visas.
again the department does n't care .,"again, the justice department doesn't care."
bitterness over does the republican no good at .,the bitterness over immigration does the republican party no good at all.
"fair minded americans do not want unfair policies.so immigration must be dealt with a , humane manner","fair minded americans do not want unfair policies.so, immigration must be dealt with in a disciplined, but humane manner."
now as far as far loons you saw running in seattle .,"now, as far as the far left loons you saw running wild in seattle."
is little hope for .,there is little hope for them.
beating people up you with them a .,beating people up because you disagree with them is a crime.
far left in continues to damage country .,the far left in america continues to damage this country.
that the memo,and that's the memo.
"now for top tonight , more chaos the obama care as may know .","now, for the top story tonight, more chaos on the obama care front as you may know."
"president has put often forcing obama mandates for american until 2015. and friday deep the fourth of july , obama administration it will not the of individuals asking for care subsidies .","the president has put often forcing obama care mandates for american business until 2015. and late friday deep into the fourth of july holiday, the obama administration announces it will not verify the incomes of individuals asking for obama care subsidies."
", course is madness would lead to fraud .","that, of course, is madness and would lead to massive fraud."
"today the backed out a bit they said well maybe kind of verification happen , you can how screwed up this thing .","today, the feds backed out a little bit and they said well, maybe some kind of verification might happen, but you can see how screwed up this whole thing is."
"joining now from a man sees big ahead for obamacare , fox senior political brit hume .","joining us now from washington a man who sees big trouble ahead for obamacare, fox news senior political analyst brit hume."
's the problem so far with this,what's the biggest problem so far with this?
"just touched on , 's seeming of the to get this imflemented","you just touched on it, it's the seeming inability of the administration to get this thing imflemented."
"let not forget that month the government office looked at the exchanges which one of principle through which insurance be under obama care they supposed to be , you , one in state set up by state or federal .","let's not forget that lost month the government accountability office looked at the exchanges, which is one of the principle vehicles through which insurance will be dispensed under obama care and they're supposed to be, you know, one in every state either set up by the state or the federal government."
gao says -- to it if might be on .,the gao says -- looked to it as if they might not be ready on time.
october people supposed signing to up in ready are to,they are supposed to be ready in october for people to start signing up.
"they not ready and the mandate n't in effect , that obama care a for its for as as year or .","if they are not ready and the employer mandate isn't in effect, that leaves obama care in a well-behind-schedule for its implementation for as much as a year or more."
looks as this is unwieldy they ca n't get going .,it looks as if this thing is so unwieldy they can't get it going.
biggest thing face right now .,biggest thing they face right now.
long standing popularity,long standing popularity.
an redistributionploy -- is i believed this the always care . have income,i have always believed that this is -- the obama care legislation is an income redistributionploy.
"n't any , i forget 20 it those money have have or -- 's do number much that and the do . embraced americans of is people by what -- obama so 30 why supported","that's why it was supported by the left and president obama embraced it so much that 20 million americans or 30 million -- i forget what the number is -- who don't have insurance, many of those people just don't have any money."
you basically giving them free that brit hume bill o'reilly and else is paying their tax receipts .,"so you are basically giving them free insurance that brit hume, bill o'reilly and everybody else is paying through their tax receipts."
giving free insurance .,giving them free insurance.
now comes word i love .,but now comes word i love.
they it out we not to it on monday ?,this they sneak it out like we're not going to get it on monday?
do think we not going to see we ca really obama care .,do they think we are not going to see this we can't really verify obama care.
"so anybody who for this , free insurance pretty get it even if they are making 800,000 a .","so that anybody who applies for this subsidy, the free insurance can pretty much get it even if they are making $800,000 a year."
i 'm going to is .,and i'm going to this is insane.
am i wrong,am i wrong?
well no,"well, no."
are not wrong .,you are not wrong.
", know i think were always going have to rely to extent on say so the , too bill one of problems are is now they have the employer , the way them to which employers are providing insurance which not is gone at least for full after this program supposed start","and, you know, i think they were always going to have to rely to some extent on the say so of the applicants.remember, too, bill, one of the problems they are having is now that they have postponed the employer mandate, the easiest way for them to know which employers are providing insurance and which are not is gone, at least for a full year after this program is supposed to start."
"means that people apply for and care , the requirements is you be insurance already through employer","that means that when people apply for and obama care subsidy, onef the requirements is that you not be getting insurance already through your employer."
well the way to verify is now .,"well, the easiest way to verify that is now gone."
"so in to the they have verifying eligibility , they also have problems the of whether the employer is insurance or , that another problem .","so, in addition to the problems they may have verifying income eligibility, they also have problems verifying the question of whether the employer is providing insurance or not, so that's another problem."
you it away anybody who for subsidies nobody is obama care their employers until 2015. that comes the .,"if you strip it away, anybody who applies for subsidies, nobody is getting obama care under their employers until 2015. that comes off the table."
. required are not the,no the employers are not required.
lot of -- look you and have through company we work .,"a lot of people -- look, you and i have it through the company we work for."
will continue to it .,we will continue to have it.
have insurance coverage .,we have insurance coverage.
's what are required to furnish at least with or more employees,that's what theemployers are required to furnish to at least businesses with 50 or more employees.
will be it,that will be it.
"the that are involved , okay , are the now years .","but the ones that are not involved, okay, they are off the table now for years."
"you walk in and say hey , i n't really any insurance .","so you can walk in and basically say, hey, i don't really have any insurance."
can give it me i n't any money .,can you give it to me because i don't have any money.
"if is going to verify income , could have as said , a of and who is to ?","and if nobody is going to verify your income, you could have, as i said, a lot of money and who is going to know?"
irs might get involved .,the irs might get involved.
i guess are going to auditing the conservatives take a at this,i guess they are going to stop auditing the conservatives and take a look at this.
recommendation eventually would be able to out through tax and tax system and would to go back this,recommendation eventually they would be able to find out through the tax returns and the tax system and they would have to go back after this.
look let 's forget another problem .,"look, let's not forget another problem here."
employer mandate applies to with 50 more employees,this employer mandate applies to companies with 50 or more employees.
means that lot companies are to make sure that do n't have full employees .,that means that a lot of companies are going to make sure that they don't have 50 full time employees.
's hurting the .,that's hurting the employment.
"'s going it hiring , bound .","it's going it hurt hiring, bound to."
that a perverse for hiring .,because that's a perverse incentive for hiring.
similarly going it people looking forfull-time work and finding of obama they only get part-time .,and similarly going it hurt people looking forfull-time work and finding because of obama care they can only get part-time work.
will tend to a drag hiring which the last a nation 7.5 % or people -- 's why he 're put it to hire people and 's they did it,this will tend to be a drag on hiring which is the last thing a nation with 7.5% or more people --  that's why he they're put it off to 2015. hire people and that's why they did it?
i suppose,i suppose.
i think also thing with i legitimately they could n't it going .,i think also the thing with -- i think legitimately they couldn't get it going.
raises the whether they ever able to .,it raises the question whether they will ever be able to.
"law is extremely unwieldy and , bill","this law is extremely unwieldy and complex, bill."
are having a time with it,they are having a terrible time with it.
's for .,that's for sure.
brit hume everybody .,"brit hume, everybody."
next the down the in zimmerman murder says jury can hear about trayvon 's drug use .,next on the run down the judge in the zimmerman murder trial says the jury can hear about trayvon martin's drug use.
will have the .,we will have the latest.
actor lamar burton says black americans continue be under all over u.s.a. reports these those after these kevin still chalk for ? ... try new seltzer fruit chews .,actor lamar burton says black americans continue to be under pressure all over the u.s.a. those reports after these those reports after these hey kevin...still eating chalk for heartburn?yeah... try new alka seltzer fruit chews.
work fast on and taste .,they work fast on heartburn and taste awesome.
are good .,these are good.
told ya,told ya!
i 'm feeling better already.new alka seltzer fruits chews,i'm feeling better already.new alka seltzer fruits chews.
enjoy relief !,enjoy the relief!
healthcare law gives us tools to fight ... to it ... it ... stop .,the healthcare law gives us powerful tools to fight it... to investigate it......prosecute it... and stop criminals.
senior medicare patrol volunteers ... teaching seniors across the ... to stop spot and fraud .,"our senior medicare patrol volunteers... are teaching seniors across the country... ...to stop, spot, and report fraud."
can help .,you can help.
guard medicare card .,guard your medicare card.
do n't give your number over the .,don't give out your card number over the phone.
call report any fraud .,call to report any suspected fraud.
're cracking down medicare .,we're cracking down on medicare fraud.
let make medicare stronger for of .,let's make medicare stronger for all of us.
chance to and shine.with as your trusted partner you can do just .,"your chance to rise and shine.with centurylink as your trusted technology partner, you can do just that."
"our cloud infrastructure , global network and custom communications , your business is reliable secure - agile .","with our visionary cloud infrastructure, global broadband network and custom communications solutions, your business is more reliable - secure - agile."
"dedicated , help , with shine . day we of week","and with responsive, dedicated support, we help you shine every day of the week."
i 'll never desert you 'll stand by you !,and i'll never desert you   i'll stand by you yeaaaah!
yeah,yeah.
that our loyalty .,so that's our loyalty program.
"'re automatically . , the rewards enrolled the , you you","you're automatically enrolled, and the longer you stay, the more rewards you get."
great,great!
i 'll stand you n't let nobody hurt you is there a simpler to the loyalty program,i'll stand by you  won't let nobody hurt you  isn't there a simpler way to explain the loyalty program?
yes,yes.
standing you day .,standing by you from day one.
now that progressive .,"now, that's progressive."
"in impact tonight , the latest the zimmerman murder as may know trayvon martin 's testified was her teenage screaming for on the 911 .","this in the impact segment tonight, the latest in the george zimmerman murder trial as you may know trayvon martin's mother testified it was her teenage son screaming for help on the 911 call."
today the police investigator in the told jury that trayvon father said was n't son on the .,but today the lead police investigator in the case told the jury that trayvon's father said it wasn't his son on the tape.
"also a of zimmerman said it was the murder irer was crying for help a mess , ?","also, a variety of zimmerman supporters said it was the accused murder irer who was crying for help, a mess, right?"
finally judge has ruled that jury hear about traces of being in martin 's system the time of death .,finally the judge has ruled that the jury can hear about traces of marijuana being in trayvon martin's system at the time of his death.
"joining now from , fox contributors mary katharine ham and juan williams","joining us now from washington, fox news contributors mary katharine ham and juan williams."
"so juan , the case about race , so , you bad if zimmerman acquitted ?","so, juan, is the case all about race and, if so, are you seeing bad things if zimmerman is acquitted?"
", . course all race 's","yeah, of course it's all about race."
's been all race the start,it's been all about race from the start.
"remember when media , think , unfirly zimmerman making him out to some you , kkk who profiled right from start .","remember when the media, i think, unfirly libeled zimmerman making him out to be some, you know, kkk guy who has profiled trachmartin right from the start."
described to played with the to that happen,described him to police played with the tape to make that happen.
right the to the me i most it now now primitive i playing think sad division is racial,and i think right now it's sad to me because i think the media now is playing for the most primitive racial division.
conservative posted back zimmerman .,conservative posted to back zimmerman.
liberals are supposed back trayvon martin .,liberals are supposed to back trayvon martin.
i think 's become like them know .,i think it's become like for them you know o.j.
simpson rodney king redo,simpson rodney king redo.
"the part of your already see that in , florida leaders civic leaders now having to go and hold meetings with the community it say n't a riot if , know , zimmerman acquitted of this crime .","and the second part of your question already you see that in sanford, florida religious leaders, civic leaders are now having to go out and hold meetings with the community trying it say don't have a riot if somehow, you know, zimmerman is acquitted of this crime."
do you mary katharine ?,what do you think mary katharine?
do think bad things are going to if zimmerman acquitted .,do you think bad things are going to happen if zimmerman is acquitted.
i pray they n't .,i pray that they don't.
i am glad is civic leaders involved and this .,i am glad there is civic leaders involved and on this issue.
when . i the really do play this to beginning very you jump more make entire the think racial,i do think that when you have the entire media really jump to make this a racial more rattle play from the very beginning.
how is media doing that juan a couple of things that out of nbc doctored tapes made look like a racist in very beginning of the .,how is the media doing that?juan cited a couple of bogus things that came out of nbc news doctored tapes that made zimmerman look like a racist in the very beginning of the case.
exposed this .,we exposed this here.
how does media continue to this all race not ?,how does the media continue to make this all about race and not justice?
"i think the beginning , when referred to as a simple white black , when that was not case for zimmerman , he raised in a household .","i think from the very beginning, when they referred to it as a very simple frankly white and black issue, when that was not the case for zimmerman certainly, he was raised in a multiracial household."
than lot presented complicated so they more,so a lot more complicated than what they first presented.
"i think they in hard that narrative they of had back up as went along media reports to as white , whatever that .","i think once they went in hard on that narrative, they sort of had to back it up as we went along and media reports referring to zimmerman as a white hispanic, whatever that means."
so the is when you make into a national about in this country it 's likely are actually going be having much of conversation because it becomes on face racist to examine facts bring up fact zimmerman 's or have you .,"so, the problem is when you make something into a national conversation about race in this country, it's pretty likely you are actually not going to be having much of a conversation because it becomes on its face racist to examine the facts and bring up the fact of zimmerman's upbringing or what have you."
then get to situation we have a doubt system.and is not necessarily going come down in exactly the that the decided everyone decided should from very .,then you get to the situation where we have a reasonable doubt system.and it is not necessarily going to come down in exactly the way that the media decided and everyone decided it should from the very beginning.
"happens , katharine if the is .","what happens, mary katharine if the man is acquitted."
reportage last week across board not only the fox news but the other news agencies well the presented a weak case,"the reportage last week across the board, not only on the fox news channel but on the other news agencies as well said the prosecution presented a weak case."
". did i anybody presented a i , prosecution case hear anybody n't n't hear say","i didn't hear anybody say the prosecution presented a strock case, i didn't hear anybody."
"911 number all because thrown gone an because all last father and today trayvon the the today mother witness just just , this now devastated oh week people was 's it 's , , it you the the no said zimmerman no","and today you get the 911 thing just devastated, just thrown out because the mother, trayvon martin's mother was an effective witness last week and now today it's all gone because the number of people said oh, no, no, no, it was zimmerman's voice and the father and all of this."
"so if prosecution present a weak case that again , the of the following it even the media","so, if the prosecution did present a weak case and that again, is the consensus of the media following it, even the liberal media."
"he get acquitted mary katharine , are expecting people run out and trouble ?","and he does get acquitted mary katharine, are you expecting people to run out and cause trouble?"
i think people will react emotionally .,i think some people will react emotionally.
i think 's been emotionally charged from beginning part of is the it by the from the beginning .,i think it's been emotionally charged from the beginning and part of that is the way it wasportrayed by the media from the very beginning.
part it also a general grievance .,part of it is also a general wish grievance.
possibility damage to done to the of nation .,possibility for damage to be done to the fabric of the nation.
as this in acquittal comes,if this verdict comes in as an acquittal.
"it in as , do n't there is going to be violence .","if it comes in as guilty, i don't think there is going to be any violence."
think think will be people that be angry .,think think there will be people that will be angry.
let say the done to the of country by way media has it the way 's been handled .,let me say the damage done to the fabric of the country by the way the media has portrayed it and the way it's been handled.
"know , , if kid up your house , o'reilly some says oh i saw a kid up to bill 's so i shot , you would be what going on here","you know, look, if my kid walks up to your house, bill o'reilly and some guy says oh, i saw a black kid walking up to bill o'reilly's house so i shot him, you would be like what is going on here?"
"a guy shot a white , and they oh the was carrying and tea know what these punks get with it all time .","if a black guy shot a white kid, and they said oh, the kid was carrying skittles and ice tea you know what these punks get away with it all the time."
forget was on of who who punching .,forget who was on top of who and who was punching who.
why was guy with gun he had to act violently a with an ice .,why was a guy with a gun deciding he had to it act violently with a teen with an ice tea.
have to the six sitting there are going do the right based upon evidence and their convictions what -- you to .,you have to buyinto the six women sitting there are going to do the right thing based upon the evidence and their convictions of what --  -- you have to pray.
white . 's whites that one an hispanic on five i think 's,it's an all white -- i think it's five whites and one hispanic on that jury.
's kind of to me,it's kind of odd to me.
so be it,but so be it.
. to have,you have to hope.
just seems to there something here when this black kid unarmed hurting anybody gets shot and killed .,it just seems to me there is something crazy here when this black kid unarmed not hurting anybody gets shot and killed.
are almost fueling the violence here by saying .,you are almost fueling the potential violence here by saying that.
i 'm not,i'm not.
are .,you are.
"let facts be presented and jurors , go ahead mary katharine .","let the facts be presented and the jurors decide, go ahead, mary katharine."
i was going say i do think part of emotion from the fact there genuine grievances the community with the justice .,i was going to say i do think part of the emotion comes from the fact that there are genuine grievances with the black community with the justice system.
use the even black though people than far same . rates are higher main the arrested rates men,black men are arrested for main use far higher rates than white people even though the usage rates are the same.
actually to by is from at way i into some situation that that . the those do every think becomes is this by,there is some of that comes from that i don't think this is the way to actually address those by turning this into a situation that becomes tainted by race at every turn.
of feel there is strong ifacquittal comes .,both of you feel that there is a strong violence ifacquittal comes down.
have to the media to tamp that starlight now,we have to now the media try to tamp that down starlight now.
"next the down , lamar says race is a major factor in u.s.a. and in lives for instance not a way .","next on the run down, actor lamar burton says race is a major factor in the u.s.a. and in the lives of for instance and not in a good way."
bernie and opine the carolla goldberg will factor both later,"later, bernie goldberg and adam carolla will both opine on the factor."
opine the .,opine on the factor.
're coming right back .,we're coming right back.
", 's fighter alright","oh, he's a fighter alright."
"aflac is helping with expenses he ca work he can focus on recovery.he n't have to so about his mortgage , groceries or even gas bills","since aflac is helping with his expenses while he can't work, he can focus on his recovery.he doesn't have to worry so much about his mortgage, groceries, or even gas bills."
kick,kick!
kick feel it,kick... feel it!
feel !,feel it!
nice work,nice work!
got it,you got it!
!,yes!
aflac gon na take care of his .,aflac's gonna help take care of his expenses.
us we gon get him back fighting shape,and us...we're gonna get him back in fighting shape.
see 's happening behind scenes aflac.com .,see what's happening behind the scenes at aflac.com.
personal story segment tonight as instance the trayvon martin zimmerman situation and life in general,"personal story segment tonight, as for instance see the trayvon martin george zimmerman situation and life in general."
joining from angeles actor lamar burton .,joining us from los angeles actor lamar burton.
burton closely mr. the following . are,are you following the trial closely mr. burton.
i 'm following not closely .,i'm following it not closely.
i do n't watch trial daily .,i don't watch the trial daily.
i get daily update through twitter andother news sources .,i get a daily update through my twitter feed andother news sources.
preconceived opinions on ?,any preconceived opinions on it?
the of the ?,on the outcome of the trial?
? the,on the situation?
mean heard you . i,"i mean, you just heard."
process .,the process.
just heard juan say that disturbs that the thing in thatten a unarmed black who just out a soda and candy up dead,you just heard juan say that it disturbs him that the whole thing was in motion thatten a unarmed black man who just out for a soda and candy winds up dead.
um-huh,um-huh.
are the of perceptions can cause if a verdict comes that an acquittal .,those are the kind of perceptions that can cause angst if a verdict comes in that is an acquittal.
know that,you know that.
's part of tragedy this case a man unfessly his .,that's part of the tragedy of this case that a young man unfessly lost his life.
"matter , know what the says there a young kid is .","no matter, you know, what the verdict says, there is a young kid who is dead."
did it need to come that .,and did it really need to come to that.
did n't .,it didn't.
did n't need to to .,it didn't need to come to.
now we to see the person shot -- we to see the works,but now we have to see that the person who shot --  -- we have to see if the system works.
's more profound than we he to if the works .,it's more profound than thanks we he have to see if the system works.
's more profound than .,it's more profound than that.
is man guilty of because that what is charged .,is the man guilty of murder because that's what he is charged with.
"your , know you guilty , not , to out and is ? if verdict he is do you intelligent an the reaction","if is he acquitted, you as an friend and an intelligent guy, if zimmerman verdict comes out not guilty by the jury, do you know what your reaction is going to be?"
i do n't,i don't.
i did n't know my to the zherdev was going to be .,i didn't know what my reaction to the oj zherdev verdict was going to be.
"there have there been many , many i have been surprised .","there have -- there have been many, many when i have been surprised."
is borrow yoction when he acquitted ?,what is borrow yoction when he was acquitted?
i was really surprised,i was really surprised.
i did not see coming .,i did not see that coming.
done justice was think in did case,did you think justice was done in the case?
i have idea of .,i have no idea of knowing.
so were neutral on and were surprised he got -- -- was very -- was very it was very shocking .,so you were neutral on that and you were just surprised that he got --  -- it was a very -- it was a very -- it was a very shocking moment.
i mean i think no what your were the idea that had the progression the speed chase through of the drama to havebeen up against odds say guilty a big surprise,"i mean, i think no matter what your expectations were, the idea that you had seen the progression from the slow speed chase through all of the courtroom drama and to havebeen up against those odds to say not guilty was a big surprise."
yeah and evidence overwhelming against simpson and civil trial that .,"yeah, and the evidence was overwhelming against simpson and the civil trial pointed that out."
so it interesting .,"so, it was interesting."
"so you right , do n't if zimmerman is found guilty and that does n't mean is .","so, you, right now, don't know if zimmerman is found not guilty and that doesn't mean he is innocent."
not guilty means the has not met its burden proving that was murder,not guilty means that the state has not met its burden in proving that there was murder.
again this the sophisticated that i think being lost on a lot of .,"again, this is the sophisticated thing that i think is being lost on a lot of people."
right .,all right.
made some comments on a network driving while being .,you made some provocative comments on a news network about driving while being black.
driving being black .,driving while being black.
you -- -- was i said provocative,and you said --  -- why was what i said provocative?
white people understand,white people understand.
i was pulled by black a few weeks .,i was pulled over by a black cop a few weeks ago.
pretty a obviously nice had excuse did what was me n't for though gave . like a ticket doing i,he obviously didn't like me and gave me a nice big ticket even though i had a pretty good excuse for what i was doing.
was all .,that was all right.
i was wrong,i was wrong.
i took ticket.i did n't feel threatened in way,i took the ticket.i didn't feel threatened in any way.
i picked the that he not big factor fan,i picked up the vibe that he is not a big factor fan.
"you on other , you are pulled , you -- -- the between and , bill is and may well to very exchange an once he the car","but you, on the other hand, when you are pulled over, you feel --  -- the difference between you and me, bill, is that and i may well get to a very pleasant exchange with an officer once he approaches the car."
difference between you get and when i stopped is i want to make sure that time between when officer his car approaches mine he is as as possible,the difference between when you get stopped and when i get stopped is i want to make sure that that time between when the officer leaves his car and approaches mine that he is as relaxed as possible.
the is as relaxed as possible,that the officer is as relaxed as possible?
the officer is as relaxed as possible,that the is officer is as relaxed as possible.
why do want to sure he was ?,why do you want to make sure he was relaxed?
that n't pop into my .,because that didn't pop into my brand.
popped into brain will explain why i did this and he understand,what popped into my brain i will explain why i did this and he will understand.
was n't that want him to relaxed,it wasn't that i want him to be relaxed.
why do want him be ?,why do you want him to be relaxed?
because because live in a and a culture it sometimes dangerous to be young black male .,"because, because i live in a country and in a culture where it can sometimes be dangerous to be a young black male."
sta statistics areoverwhelming some of crime,the sta statistics areoverwhelming some aspects of crime.
overrepresentation our population of young of color .,overrepresentation of our prison population of young men of color.
's just -- is dangerous to be a black man america .,it's just -- it is historically dangerous to be a young black man in america.
"it no different me than is , know for anyone","and it's no different for me than it is for, you know, for anyone."
age and .,my age and race.
"i understand does the that reported , not convicted , reported crime so tilts toward friend men mitigate this reported crime .","i understand that does the fact that reported crime, not convicted crime, reported crime so overwhelmingly tilts toward friend men mitigate this that reported crime."
"mostly other for , all for .","mostly by other for instance, all for for african-americans."
dot mitigate anything .,dot that mitigate anything.
do n't . i believe does,i don't believe it does.
to held the culture is at have this,you have to look at the it culture which this bias is held.
have to at the of culture andwhat popular has turned in of the representations of people color,you have to look at the imagery of the culture andwhat the popular culture has turned out in terms of the representations of people of color.
"look whenever you majority population , and you , united of america in middle of a shift in terms the of its , whch you have majority population","look, whenever you have majority population, and, you know, the united states of america is in the middle of a huge shift in terms of the makeup of its population, racially whch you have a majority population."
majority is always going to the rules,the majority is always going to set the rules.
"it and case people traditionally pa bit actually , institutionally been disenfranchised and of law enforcement more any other .","and it -- and our case black people have traditionally pa bit actually, institutionally been disenfranchised and targets of law enforcement more than any other group."
i have run .,i have to run.
i want talk to about again,i want to talk to you about this again.
i want to research for me,i want you to do research for me.
i think 's a that proportionally black men commit far more crimes than any other in country .,i think it's a fact that proportionally young black men commit far more crimes than any other group in this country.
i think 's what driving all of fear both .,i think that's what is driving all of this fear on both sides.
good burton . mr. very conversation,"mr. burton, very good conversation."
um,um.
will pick it .,we will pick it up.
"will talk again , .","we will talk again,bill."
will talk again .,we will talk again.
plenty more the moves along this .,plenty more as the factor moves along this evening.
jim carrey apologizes gun owners for comments,jim carrey apologizes to gun owners for the comments.
adam carolla has thoughts,adam carolla has thoughts.
"putting leisure activities putting leisure activities ahead serious issues.now steve 's pretty good so far.eh , hold brent , 's this","putting leisure activities putting leisure activities ahead of serious issues.now steve's looking pretty good so far.eh, hold on brent, what's this?"
mmmm nice car .,"mmmm, nice car."
"'s no , that definitely na throw him off","there's no doubt, that's definitely gonna throw him off."
's seen it .,she's seen it too.
be man trouble.oh . this,oh this could be trouble.oh man.
got ta think fast herbie .,"gotta think fast, herbie."
back pedal back pedal .,"back pedal, back pedal."
[ crowd cheering ] oh he down in and the ice-cold .,"[ crowd cheering ] oh, he's down in flames and now the ice-cold shoulder."
one last play no game !,"one last play... no, game over!"
gps take to dog a powerful first .,gps take him to the dog house.make a powerful first impression.
all-new nissan sentra .,the all-new nissan sentra.
nature made vitamelts .,with nature made vitamelts.
can vitamins melt mouth-watering flavor ?,can vitamins melt into mouth-watering flavor?
melt-in-your-mouth vitamin supplements,melt-in-your-mouth vitamin supplements.
flavors like vanilla ... ... juicy irresistibly nature made vitamelts .,in flavors like creamy vanilla... ...and juicy orange irresistibly melty nature made vitamelts.
"get coupon on facebook unresolved problem segment tonight , the terrible crash san francisco two killed 200 others injured afterasiana flight south korea crash landed at the francisco airport .","get a coupon on our facebook page  unresolved problem segment tonight, the terrible air crash in san francisco two killed and 200 others injured afterasiana flight from south korea crash landed at the san francisco airport."
right now looks like error as the based had a pilot with scant on the in command of aircraft,right now it looks like pilot error as the korean based airline had a pilot with scant experience on the 777 in command of the aircraft.
joining now from francisco the chairman the national safety debra hersman .,joining us now from san francisco the chairman of the national transportation safety board debra hersman.
i know are investigating and have to be careful what you say aviation we to believe is pilot error a lot planes are and going without incident san that day the video shows that plane was down .,i know you are investigating and you have got to be careful about what you say or aviation experts we talked to believe it is pilot error because a lot of planes are coming and going without incident at san francisco that day and the video shows that the plane was going down.
already knew the was too late .,we already knew the speed was too late.
too slow all that,too slow and all of that.
i want to is how does the countries their pilots properly their properly .,what i want to know is how does the countries train their pilots properly train their properly.
federal aviation administration is responsible for oversight in the .,the federal aviation administration is responsible for safety oversight in the unitedstates.
around world make sure they also are their and their crews particularly that fly the states on passenger flights,all around the world to make sure that they also are overseeing their companies and their crews particularly those that fly into the united states on passenger carrying flights.
"send people seoul , korea and to , and to to look how pilots are , to at how planes are maintained ?","send people to seoul, south korea and to paris, france and to africa to look at how the pilots are trained, to look at how the planes are maintained?"
do do that,do you do that?
well the aviation administration is responsible .,"well, the federal aviation administration is responsible."
ntsb investigates accidents where a organization .,the ntsb investigates accidents where a separate organization.
the does have in country and some countries they send people travel other countries .,but the faa does have in country experts and some countries and they may send people to travel to other countries.
they have to work their counterparts make standards are .,but they do have to work with their counterparts to make sure standards are upheld.
sure they are and doing wondering in agency to is the sure know i the guys 'm,sure i'm wondering what the oversight is in the faa and your agency to make sure these guys know what they are doing.
"let give you example i flew the 1990s on vietnam harrowingexperience , walking up and down the .","let me give you an example, i flew in the 1990s on air vietnam most harrowingexperience, ducks walking up and down the plane."
was crazy .,it was crazy.
i would never get another plane back then .,i would never get on another vietnam plane back then.
i 'm sure have upgraded now it a dangerous .,i'm sure they have upgraded now it was a dangerous experience.
salvadorian airline during salvadorian was crazy some did n't have radar .,the salvadorian airline during the salvadorian war was crazy some didn't even have radar.
"when i see plane crash like and guy n't much experience on the 7777 even though were pilots , weighs command that makes me nervous","when i see a plane crash like this and the guy didn't have much experience on the 7777 even though there were four pilots, weighs in command, that makes me nervous."
well i think in of accidents have look at of the before we conclusions,"well, i think in all of these accidents we have to look at all of the facts before we reach conclusions."
of just been a days 's,it's just been a couple of days.
do know a about the from cockpit voice .,we do know a lot about the flight from the cockpit voice recorder.
flight data recorder .,the flight data recorder.
is important for to at qualifications that going to be part of our .,it is important for us to look at pilot qualifications that's going to be a part of our investigation.
conduct very thorough investigations and team actually in the process interviewing pilots today,we conduct very thorough investigations and our team is actually in the process of interviewing those pilots today.
do n't have any over what korea .,you don't have any sway over what south korea does.
's my here .,that's my point here.
"now on front these planes into , do the have to speak english right ?","now, on the front of these planes coming into theu.s.a., do the pilots have to all speak english, right?"
"all to speak , correct ?","they all have to speak english, correct?"
sure,sure.
"just to back , the does some sway .","and just to go back, the faa does have some sway."
have to operating authority to come the united .,they have to get operating authority to come into the united states.
have to certain standards to do .,they have to meet certain standards to do that.
nobody knows if do not .,but nobody knows if they do or not.
's my .,that's my point.
"let on stay , . the","but the english, let's stay on that."
", to speak ? the have right","all the pilots have to speak english, right?"
it to aviation language universal when is english,english is the universal language when it comes to aviation.
pilots around world air traffic do communicate in english in order have that operations .,all pilots around the world and air traffic controllers do communicate in english in order to have that commercial operations.
i know on voice there is korean that recorder as as .,because i know on the voice recordered there is korean on that recorder as well as english.
is not ?,is there not?
's right .,that's right.
when crew is talking to other they may talking their native language .,"when the crew is talking to each other, they may be talking in their native language."
"when are talking to traffic control , those are to be in english","when they are talking to air traffic control, those communications are required to be in english."
terrible thing,terrible thing.
"you , there nothing can do .","and you know, there is nothing we can do."
flight safety record the states is beingexcellent so we everybody know that do panic .,flight safety record in the united states is beingexcellent so we want everybody to know that don't panic.
oversight just . the rest wanted find out the i,i just wanted to find out the oversight of the rest of the world.
appreciate coming on .,appreciate you coming on tonight.
know you a busy .,we know you had a busy day.
"bernie goldberg said president obama secretary of kerry was goofing around when when you experience great , you want share .","bernie goldberg said president obama and secretary of state kerry was goofing around when when you experience something great, you want to share it."
everyone .,with everyone.
"'s why more customers recommend verizon , 's largest lte network .","that's why more customers recommend verizon, america's largest 4g lte network."
"thanks staying with , 'm o'reilly .","thanks for staying with us, i'm bill o'reilly."
the with bernie tonight .,in the weekdays with bernie segment tonight.
criticism some the that of state president obama involved with pursuits instead of play paying to the blow up egypt .,criticism by some in the media that secretary of state and president obama were involved with trivial pursuits instead of play paying attention to the blow up in egypt.
i do n't know how happened it terrible optics .,i don't know how this happened it was terrible optics.
next day the goes golfing and secretary is out on his .,the next day the president goes golfing and secretary kerry is out on his yacht.
does that to young in egypt across middle east of debate about america 's in region ?,what does that say to young people in egypt across the middle east part of the debate about america's interest in the region?
is criticism justified ?,is that criticism justified?
joining now from carolina the purveyor bernard goldberg.com mr. goldberg .,joining us now from north carolina the purveyor of bernard goldberg.com about mr. goldberg.
